ds,yhat,yhat_lower,yhat_upper
2014-04-04,54.385732638814375,-29.176397862188686,134.50972658194993
2014-04-05,106.0185655183267,22.73862022004946,197.3872284912221
2014-04-06,61.29828823692519,-26.584991127342455,148.8753304539976
2014-04-07,34.25062332665056,-50.265942590238126,118.13599253940862
2014-04-08,33.43090870314609,-50.29488078446893,117.04782251868815
2014-04-09,59.70571366586409,-24.291053433913675,142.26529901630278
2014-04-10,46.79591749425543,-36.742717374006325,133.38513157288583
2014-04-11,61.72312727696508,-26.905011070634725,146.58265575195293
2014-04-12,116.69016531050332,28.22969219432548,200.84239563024119
2014-04-13,75.06497780159575,-9.467124336511239,152.16671777432023
2014-04-14,50.800654247107644,-35.03200675380861,132.65990326081948
2014-04-15,52.38659172311936,-28.631778127728506,134.82174815511382
